text,intent
"What is the fare from here to downtown?",fare_inquiry
"How much is the ticket to Legazpi City?",fare_inquiry
"Can you tell me the cost of a bus ride to Manila?",fare_inquiry
"What's the fare for the jeepney?",fare_inquiry
"How much does a taxi cost to the airport?",fare_inquiry
"How much is the bus fare from here?",fare_inquiry
"What's the ticket price for the ferry?",fare_inquiry
"Tell me the fare to the nearest station.",fare_inquiry
"How much does a train ride cost?",fare_inquiry
"What's the usual fare to City Hall?",fare_inquiry
"How much is the jeepney fare these days?",fare_inquiry
"What is the cost of a tricycle ride?",fare_inquiry
"What's the fare for a student on the bus?",fare_inquiry
"How much is the discounted fare for seniors?",fare_inquiry
"What's the fare for the next boat trip?",fare_inquiry
"Tell me the fare to the mall.",fare_inquiry
"How much will a ride to the pier cost?",fare_inquiry
"What's the fare for a motorcycle taxi?",fare_inquiry
"How much is the one-way fare to the next town?",fare_inquiry
"What's the fare for a van ride?",fare_inquiry
"How much is the airport shuttle fare?",fare_inquiry
"Can you tell me the fare for a child on the bus?",fare_inquiry
"What's the price of a jeepney ticket?",fare_inquiry
"How much does the ride to the university cost?",fare_inquiry
"Tell me the current bus fare.",fare_inquiry
"What is the fare for a short trip?",fare_inquiry
"How much for a ride to the nearest stop?",fare_inquiry
"What's the fare for a regular commuter?",fare_inquiry
"What's the minimum fare for a tricycle?",fare_inquiry
"How much does a round-trip fare cost?",fare_inquiry
"What is the fare to the main terminal?",fare_inquiry
"How much is the fare to the beach?",fare_inquiry
"What's the taxi rate to the city center?",fare_inquiry
"What's the charge for a shared ride?",fare_inquiry
"How much is the fare to the park?",fare_inquiry
"Tell me how much a bus ride costs.",fare_inquiry
"How much for a ride across town?",fare_inquiry
"What’s the fare to the museum?",fare_inquiry
"How much is the ticket to the next city?",fare_inquiry
"How much is the fare for a private car?",fare_inquiry
"How much is the bus fare for a senior citizen?",fare_inquiry
"What is the standard jeepney fare?",fare_inquiry
"How much will I pay for a ride to the plaza?",fare_inquiry
"How much does the trip to the resort cost?",fare_inquiry
"What is the fare for students?",fare_inquiry
