text,labels,
What is the fare from here to downtown?,O O O B-FARE O O O B-DESTINATION,
How much is the ticket to Legazpi City?,O O O O B-FARE O B-DESTINATION I-DESTINATION,
Can you tell me the cost of a bus ride to Manila?,O O O O O B-FARE O O B-TRANSPORT O O B-DESTINATION,
What's the fare for the jeepney?,O O O B-FARE O O B-TRANSPORT,
How much does a taxi cost to the airport?,O O O O B-TRANSPORT B-FARE O O B-DESTINATION,
How much is the bus fare from here?,O O O O B-TRANSPORT B-FARE O O,
What's the ticket price for the ferry?,O O O B-FARE O O O B-TRANSPORT,
Tell me the fare to the nearest station.,O O O B-FARE O O O B-DESTINATION,
How much does a train ride cost?,O O O O B-TRANSPORT I-TRANSPORT B-FARE,
What's the usual fare to City Hall?,O O O B-FARE O B-DESTINATION I-DESTINATION O,
How much is the jeepney fare these days?,O O O O B-TRANSPORT I-FARE O O ,
What is the cost of a tricycle ride?,O O O B-FARE O O B-TRANSPORT I-TRANSPORT,
How much is the discounted fare for seniors?,O O O O B-DISCOUNT B-FARE O B-COMMUTER,
What's the fare for the next boat trip?,O O B-FARE O O O B-TRANSPORT I-TRANSPORT O,
Tell me the fare to the mall.,O O O B-FARE O O B-DESTINATION ,
How much will a ride to the pier cost?,O O O B-ACTIVITY O O O B-FARE O,
What's the fare for a motorcycle taxi?,O O B-FARE O O B-TRANSPORT I-TRANSPORT O,
How much is the one-way fare to the next town?,O O O O B-FARE I-FARE I-FARE O O B-DESTINATION,
What's the fare for a van ride?,O O B-FARE O O B-TRANSPORT O O,
How much is the airport shuttle fare?,O O O O B-FARE I-FARE I-FARE ,
Can you tell me the fare for a child on the bus?,O O O O O B-FARE O O B-COMMUTER O O B-TRANSPORT ,
What's the price of a jeepney ticket?,O O B-FARE O O B-TRANSPORT B-FARE O,
Tell me the current bus fare.,O O O O B-TRANSPORT B-FARE,
What is the fare for a short trip?,O O O B-FARE O O O O ,
How much for a ride to the nearest stop?,O O O O B-FARE O O B-DESTINATION I-DESTINATION ,
What's the fare for a regular commuter?,O O O B-FARE O O  B-COMMUTER I-COMMUTER ,
What's the minimum fare for a tricycle?,O O B-FARE I-FARE O O B-TRANSPORT O,
How much does a round-trip fare cost?,O O O O B-FARE I-FARE I-FARE ,
What is the fare to the main terminal?,O O O B-FARE O O B-DESTINATION I-DESTINATION ,
How much is the fare to the beach?,O O O O B-FARE O O B-DESTINATION ,
What's the taxi rate to the city center?,O O O B-FARE I-FARE O O B-DESTINATION I-DESTINATION ,
What's the charge for a shared ride?,O O O B-FARE O O O O ,
How much for a ride across town?,O O O O B-ACTIVITY O B-DESTINATION,
what's the fare to the museum?,O O B-FARE O O B-DESTINATION O,
How much is the ticket to the next city?,O O O O B-FARE O O B-DESTINATION I-DESTINATION ,
How much is the fare for a private car?,O O O O B-FARE O O B-TRANSPORT I-TRANSPORT,
How much is the bus fare for a senior citizen?,O O O O B-TRANSPORT B-FARE O O B-COMMUTER I-COMMUTER,
What is the standard jeepney fare?,O O O O B-TRANSPORT B-FARE ,
How much will I pay for a ride to the plaza?,O O O O B-FARE O O B-TRANSPORT O O B-DESTINATION,
How much does the trip to the resort cost?,O O O O B-ACTIVITY O O B-DESTINATION B-FARE,
What is the fare for students?,O O O B-FARE O B-COMMUTER,
How much for a shared jeepney ride?,O O O O B-TRANSPORT I-TRANSPORT I-TRANSPORT,
What's the fare to the hospital?,O O B-FARE O O B-DESTINATION O,
How much will it cost to reach the market?,O O O O B-FARE O O O B-DESTINATION,
What is the charge for the ferry?,O O O B-FARE O O B-TRANSPORT,
Tell me how much the ride to town costs.,O O O O O B-ACTIVITY O B-DESTINATION B-FARE ,
What's the typical fare to the town square?,O O O O B-FARE O O B-DESTINATION I-DESTINATION,
How much is the ticket for the early bus?,O O O O B-FARE O O B-TRANSPORT I-TRANSPORT,
How much does a shuttle service cost?,O O O O B-TRANSPORT I-TRANSPORT B-FARE,
What's the tricycle rate for a short trip?,O O O B-TRANSPORT B-FARE O O B-ACTIVITY I-ACTIVITY,
Tell me the fare for a long-distance bus.,O O O B-FARE O O B-TRANSPORT I-TRANSPORT,
How much will a trip to the harbor cost?,O O O O B-ACTIVITY O O B-DESTINATION B-FARE,
How much for the jeepney to the next town?,O O O O B-TRANSPORT O O O B-DESTINATION,
Tell me how much the van fare is.,O O O O O B-TRANSPORT B-FARE O,
What's the fare for a family of four?,O O O B-FARE O O O O O,
How much is the trip to the train station?,O O O O O O B-DESTINATION I-DESTINATION O,
what's the typical charge for a pedicab?,O O O B-FARE O O B-TRANSPORT O,
How much for a quick ride to the hotel?,O O O O O O O B-DESTINATION O,
What's the student discount fare?,O O B-COMMUTER B-DISCOUNT B-FARE O,
